Common Fish Name,CB's Recommended Fish Food,Temperament,Coral Safety,Grows To,Starting Tank Size,Lifespan,Sand Substrate Required,Feeding Difficulty,Feeding Times per Day,Typical Color,Community Suitability,Temperature Range,Salinity Range,Water PH,Water Alkalinity Recommendation,Water Flow Preference,Origin,Scientific Name,QR,SKU
Goby Mandarin Green Dragonet (Large),"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,3 Inches,20 Gallon,4-6 Years,Yes,Moderate,2-3,Vivid green/blue psychedelic patterning,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Western Pacific,Synchiropus splendidus,https://bubba751.github.io/Saltwater-HTML-Files/Goby Mandarin Green Dragonet (Large).html,GB08
Goby Mandarin Green Dragonet (Medium),"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,3 Inches,20 Gallon,4-6 Years,Yes,Moderate,2-3,Vivid green/blue psychedelic patterning,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Western Pacific,Synchiropus splendidus,https://bubba751.github.io/Saltwater-HTML-Files/Goby Mandarin Green Dragonet (Medium).html,GB07
Goby Mandarin Red,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,3 Inches,20 Gallon,4-6 Years,Yes,Moderate,2-3,Orange-red body with blue/green swirling patterns,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Western Pacific,Synchiropus picturatus (Psychedelic/Red Mandarin),https://bubba751.github.io/Saltwater-HTML-Files/Goby Mandarin Red.html,GB09
Goby Pearly Jawfish,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,4 Inches,20 Gallon,3-5 Years,Yes,Moderate,2-3,"Pale blue-white body, yellow head tint",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low,Caribbean,Opistognathus aurifrons,https://bubba751.github.io/Saltwater-HTML-Files/Goby Pearly Jawfish.html,GB10
Goby Pink Spot Watchman,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,4 Inches,20 Gallon,3-5 Years,Yes,Easy,2-3,Tan/gray body with pink spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Cryptocentrus leptocephalus / similar watchman goby,https://bubba751.github.io/Saltwater-HTML-Files/Goby Pink Spot Watchman.html,GB11
Goby Tiger Wardi,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,3 Inches,20 Gallon,3-5 Years,Yes,Easy,2-3,Tan body with dark tiger-like vertical striping,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Amblygobius wardi (Tiger/Ward's Goby),https://bubba751.github.io/Saltwater-HTML-Files/Goby Tiger Wardi.html,GB12
Goby Yellow Spot Watchman,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,4 Inches,20 Gallon,3-5 Years,Yes,Easy,2-3,Tan/gray body with yellow spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Cryptocentrus cinctus (variant) / similar watchman goby,https://bubba751.github.io/Saltwater-HTML-Files/Goby Yellow Spot Watchman.html,GB14
Goby Yellow Watchman,"Beta Brine, ROE, Emerald Entree, Marine Cuisine, Arcti Pods",Peaceful,Reef Safe,4 Inches,20 Gallon,3-5 Years,Yes,Easy,2-3,Bright yellow body,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Cryptocentrus cinctus,https://bubba751.github.io/Saltwater-HTML-Files/Goby Yellow Watchman.html,GB13
Hawk Flame,"Beta Brine, ROE, Arcti Pods, Marine Cuisine",Semi-Aggressive,Reef Caution,4 Inches,30 Gallon,5-8 Years,No,Easy,2-3,Bright red-orange body,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Western Pacific,Neocirrhites armatus,https://bubba751.github.io/Saltwater-HTML-Files/Hawk Flame.html,HA01
Hawk Longnose,"Beta Brine, ROE, Arcti Pods, Marine Cuisine",Semi-Aggressive,Reef Caution,5 Inches,30 Gallon,5-8 Years,No,Easy,2-3,"Red crosshatch pattern over white body, elongated snout",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Oxycirrhites typus,https://bubba751.github.io/Saltwater-HTML-Files/Hawk Longnose.html,HA02
Hawk Spotted,"Beta Brine, ROE, Arcti Pods, Marine Cuisine",Semi-Aggressive,Reef Caution,4 Inches,30 Gallon,5-8 Years,No,Easy,1-2,White/pink body with red-brown spotting,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Cirrhitichthys oxycephalus,https://bubba751.github.io/Saltwater-HTML-Files/Hawk Spotted.html,HA03
Lionfish Volitan (Large),"Live fish, Krill, Silverside",Aggressive,Reef Safe (large fish caution),14 Inches,125 Gallon,10-15 Years,No,Moderate,2-3 times per week,Zebra-striped red-brown/white with long venomous spines,Predatory Fish-Only Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Pterois volitans,https://bubba751.github.io/Saltwater-HTML-Files/Lionfish Volitan (Large).html,MS06
Lionfish Volitan (Medium),"Live fish, Krill, Silverside",Aggressive,Reef Safe (large fish caution),14 Inches,125 Gallon,10-15 Years,No,Moderate,2-3 times per week,Zebra-striped red-brown/white with long venomous spines,Predatory Fish-Only Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Pterois volitans,https://bubba751.github.io/Saltwater-HTML-Files/Lionfish Volitan (Medium).html,MS05
Lionfish Volitan (Small),"Live fish, Krill, Silverside",Aggressive,Reef Safe (large fish caution),14 Inches,125 Gallon,10-15 Years,No,Moderate,2-3 times per week,Zebra-striped red-brown/white with long venomous spines,Predatory Fish-Only Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Pterois volitans,https://bubba751.github.io/Saltwater-HTML-Files/Lionfish Volitan (Small).html,MS04
Longhorn Cowfish (Large),"Beta Brine, ROE, Arcti Pods, Marine Cuisine, Emerald Entree",Peaceful,Reef Caution,18 Inches,180 Gallon,5-8 Years,No,Easy,2,"Yellow body with blue spotting, horn-like projections above eyes",Peaceful Community (fish-only preferred),76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Lactoria cornuta,https://bubba751.github.io/Saltwater-HTML-Files/Longhorn Cowfish (Large).html,MS08
Longhorn Cowfish (Medium),"Beta Brine, ROE, Arcti Pods, Marine Cuisine, Emerald Entree",Peaceful,Reef Caution,18 Inches,180 Gallon,5-8 Years,No,Easy,2,"Yellow body with blue spotting, horn-like projections above eyes",Peaceful Community (fish-only preferred),76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Lactoria cornuta,https://bubba751.github.io/Saltwater-HTML-Files/Longhorn Cowfish (Medium).html,MS07
Marine Betta,"Beta Brine, Marine Cuisine, Emerald Entree",Peaceful,Reef Safe,5 Inches,30 Gallon,5-8 Years,No,Moderate,1-2,"Dark brown/black body with white spotting, eyespot near tail",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low,Indo-Pacific,Calloplesiops altivelis,https://bubba751.github.io/Saltwater-HTML-Files/Marine Betta.html,MS09
Moorish Idol,"Beta Brine, Marine Cuisine, Emerald Entree",Peaceful,Reef Caution,9 Inches,180 Gallon,Varies,No,Difficult,2-3,"Black, white, and yellow vertical bands, long dorsal filament",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Zanclus cornutus,https://bubba751.github.io/Saltwater-HTML-Files/Moorish Idol.html,MS10
Parrotfish,"Beta Brine, Marine Cuisine, Emerald Entree",Peaceful,Not Reef Safe,12-24 Inches (species dependent),180 Gallon,5-10 Years,Yes,Easy,2,"Varies widely by species, often vivid blue/green/pink",Peaceful Community (fish-only),76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Scarus spp. / Chlorurus spp.,https://bubba751.github.io/Saltwater-HTML-Files/Parrotfish.html,MS11
Puffer Blue Spot Fiji (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Krill, Squid",Semi-Aggressive,Reef Caution,6 Inches,29 Gallon,5-10 Years,No,Easy,2,Tan/brown body with blue spotting,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Fiji/South Pacific,Canthigaster solandri or similar sharpnose puffer,https://bubba751.github.io/Saltwater-HTML-Files/Puffer Blue Spot Fiji (Large).html,PU02
Puffer Blue Spot Fiji (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Krill, Squid",Semi-Aggressive,Reef Caution,6 Inches,29 Gallon,5-10 Years,No,Easy,2,Tan/brown body with blue spotting,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Fiji/South Pacific,Canthigaster solandri or similar sharpnose puffer,https://bubba751.github.io/Saltwater-HTML-Files/Puffer Blue Spot Fiji (Medium).html,PU01
Puffer Dogface,"Marine Cuisine, Emerald Entree, Beta Brine, Krill, Squid",Semi-Aggressive,Not Reef Safe,10 Inches,55 Gallon,10-15 Years,No,Easy,2,Gray/yellow body with black patch around eyes/mouth,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Arothron nigropunctatus,https://bubba751.github.io/Saltwater-HTML-Files/Puffer Dogface.html,PU03
Puffer Porcupine (Large),"Hard scaled Shrimp, Squid, Clams",Semi-Aggressive,Not Reef Safe,12-18 Inches,100 Gallon,10-15 Years,No,Moderate,2,"Long, modified scales cover its body. These spines normally lay flat against its skin but stand straight up when the fish expands",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,"Atlantic, Pacific, and Indian Oceans",Diodon holocanthus,https://bubba751.github.io/Saltwater-HTML-Files/Puffer Porcupine (Large).html,PU05
Puffer Porcupine (Medium),"Hard scaled Shrimp, Squid, Clams",Semi-Aggressive,Not Reef Safe,12-18 Inches,100 Gallon,10-15 Years,No,Moderate,2,"Long, modified scales cover its body. These spines normally lay flat against its skin but stand straight up when the fish expands",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,"Atlantic, Pacific, and Indian Oceans",Diodon holocanthus,https://bubba751.github.io/Saltwater-HTML-Files/Puffer Porcupine (Medium).html,PU04
Puffer Porcupine (Small),"Hard scaled Shrimp, Squid, Clams",Semi-Aggressive,Not Reef Safe,12-18 Inches,100 Gallon,10-15 Years,No,Moderate,2,"Long, modified scales cover its body. These spines normally lay flat against its skin but stand straight up when the fish expands",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,"Atlantic, Pacific, and Indian Oceans",Diodon holocanthus,https://bubba751.github.io/Saltwater-HTML-Files/Puffer Porcupine (Small).html,1395085
Puffer Valentini,"Marine Cuisine, Emerald Entree, Beta Brine, Krill, Squid",Semi-Aggressive,Reef Caution,5 Inches,29 Gallon,5-8 Years,No,Easy,2,White/tan body with black saddle patches,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Canthigaster valentini,https://bubba751.github.io/Saltwater-HTML-Files/Puffer Valentini.html,PU06
Rabbitfish Bicolor Foxface (Large),"Beta Brine, Marine Cuisine, Emerald Entree",Peaceful,Reef Caution,9 Inches,55 Gallon,8-12 Years,No,Easy,2-3,"Dark front half, yellow rear half",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus uspi / bicolor morph,https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish Bicolor Foxface (Large).html,RB02
Rabbitfish Bicolor Foxface (Medium),"Beta Brine, Marine Cuisine, Emerald Entree",Peaceful,Reef Caution,9 Inches,55 Gallon,8-12 Years,No,Easy,2-3,"Dark front half, yellow rear half",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus uspi / bicolor morph,https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish Bicolor Foxface (Medium).html,RB01
Rabbitfish Bicolor Foxface (Small),"Beta Brine, Marine Cuisine, Emerald Entree",Peaceful,Reef Caution,9 Inches,55 Gallon,8-12 Years,No,Easy,2-3,"Dark front half, yellow rear half",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus uspi / bicolor morph,https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish Bicolor Foxface (Small).html,871951T
Rabbitfish Foxface (Large),"Beta Brine, Marine Cuisine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Reef Caution,9 Inches,55 Gallon,8-12 Years,No,Easy,2-3,"Yellow body with brown/white head patch, black-outlined face",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus vulpinus,https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish Foxface (Large).html,RB05
Rabbitfish Foxface (Medium),"Beta Brine, Marine Cuisine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Reef Caution,9 Inches,55 Gallon,8-12 Years,No,Easy,2-3,"Yellow body with brown/white head patch, black-outlined face",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus vulpinus,https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish Foxface (Medium).html,RB04
Rabbitfish Foxface (Small),"Beta Brine, Marine Cuisine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Reef Caution,9 Inches,55 Gallon,8-12 Years,No,Easy,2-3,"Yellow body with brown/white head patch, black-outlined face",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus vulpinus,https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish Foxface (Small).html,RB03
Rabbitfish Metallic Foxface (Large),"Beta Brine, Marine Cuisine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Reef Caution,9 Inches,55 Gallon,8-12 Years,No,Easy,2-3,Yellow body with metallic blue-gray sheen,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus sp. (metallic-sheen foxface),https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish Metallic Foxface (Large).html,RB07
Rabbitfish Metallic Foxface (Medium),"Beta Brine, Marine Cuisine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Reef Caution,9 Inches,55 Gallon,8-12 Years,No,Easy,2-3,Yellow body with metallic blue-gray sheen,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus sp. (metallic-sheen foxface),https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish Metallic Foxface (Medium).html,RB06
Rabbitfish Metallic Foxface (Small),"Beta Brine, Marine Cuisine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Reef Caution,9 Inches,55 Gallon,8-12 Years,No,Easy,2-3,Yellow body with metallic blue-gray sheen,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus sp. (metallic-sheen foxface),https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish Metallic Foxface (Small).html,368192Q
Rabbitfish One Spot,"Beta Brine, Marine Cuisine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Reef Caution,10 Inches,55 Gallon,8-12 Years,No,Easy,2-3,Yellow body with single black spot near dorsal fin,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus unimaculatus,https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish One Spot.html,RB08
Rabbitfish Orangespot,"Beta Brine, Marine Cuisine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Reef Caution,8 Inches,55 Gallon,8-12 Years,No,Easy,2-3,Olive-brown body with orange spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus guttatus,https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish Orangespot.html,RB09
Rabbitfish Scribbled,"Beta Brine, Marine Cuisine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Reef Caution,15 Inches,55 Gallon,8-12 Years,No,Easy,2-3,Blue-gray body with fine yellow scribble-like lines,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Siganus doliatus / spinus (Scribbled Rabbitfish),https://bubba751.github.io/Saltwater-HTML-Files/Rabbitfish Scribbled.html,RB10
Snapper,"Beta Brine, Marine Cuisine, Krill",Semi-Aggressive,Not Reef Safe,12-24 Inches (species dependent),55 Gallon,10-15 Years,No,Easy,2-3,"Varies by species, often silver/yellow with stripes",Semi-Aggressive Community (fish-only),76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Lutjanus spp.,https://bubba751.github.io/Saltwater-HTML-Files/Snapper.html,MS12
Sweetlips Oriental,"Marine Cuisine, Beta Brine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Not Reef Safe,20-30 Inches (species dependent),55 Gallon,10-15 Years,No,Moderate,2-3,Horizontal black and white stripes stretching along a pale silver-grey body,Peaceful Community (fish-only preferred),76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Plectorhinchus spp.,https://bubba751.github.io/Saltwater-HTML-Files/Sweetlips Oriental.html,474774K
Sweetlips Spotted,"Marine Cuisine, Beta Brine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Not Reef Safe,20-30 Inches (species dependent),55 Gallon,10-15 Years,No,Moderate,2-3,Horizontal black and white stripes stretching along a pale silver-grey body,Peaceful Community (fish-only preferred),76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Plectorhinchus spp.,https://github.com/Bubba751/Saltwater-HTML-Files/blob/main/Sweetlips%20Spotted.html,1785839
Sweetlips Striped,"Marine Cuisine, Beta Brine, Emerald Entree, Ocean Nutrician Seaweed",Peaceful,Not Reef Safe,20-30 Inches (species dependent),55 Gallon,10-15 Years,No,Moderate,2-3,Horizontal or diagonal black-and-white stripes across a silvery-gray body.,Peaceful Community (fish-only preferred),76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Plectorhinchus spp.,https://bubba751.github.io/Saltwater-HTML-Files/Sweetlips Striped.html,MS13
Tang Achilles (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Difficult,2-3,Black body with an orange teardrop patch near tail,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Central/South Pacific,Acanthurus achilles,https://bubba751.github.io/Saltwater-HTML-Files/Tang Achilles (Large).html,TA01
Tang Achilles (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Difficult,2-3,Black body with an orange teardrop patch near tail,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Central/South Pacific,Acanthurus achilles,https://bubba751.github.io/Saltwater-HTML-Files/Tang Achilles (Medium).html,Q252205
Tang Achilles (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Difficult,2-3,Black body with an orange teardrop patch near tail,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Central/South Pacific,Acanthurus achilles,https://bubba751.github.io/Saltwater-HTML-Files/Tang Achilles (Small).html,986678A
Tang Atlantic Blue (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Deep blue body, yellow tail as juvenile fading with age",Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,"Western Atlantic, Caribbean",Acanthurus coeruleus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Atlantic Blue (Large).html,TA02
Tang Atlantic Blue (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Deep blue body, yellow tail as juvenile fading with age",Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,"Western Atlantic, Caribbean",Acanthurus coeruleus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Atlantic Blue (Medium).html,Q896383
Tang Atlantic Blue (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Deep blue body, yellow tail as juvenile fading with age",Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,"Western Atlantic, Caribbean",Acanthurus coeruleus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Atlantic Blue (Small).html,J431790
Tang Blue Eyed Kole (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,7 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown/tan body with fine gold striping, blue eye ring",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii,Ctenochaetus strigosus (blue-eye variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Blue Eyed Kole (Large).html,TA04
Tang Blue Eyed Kole (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,7 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown/tan body with fine gold striping, blue eye ring",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii,Ctenochaetus strigosus (blue-eye variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Blue Eyed Kole (Medium).html,TA03
Tang Blue Eyed Kole (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,7 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown/tan body with fine gold striping, blue eye ring",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii,Ctenochaetus strigosus (blue-eye variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Blue Eyed Kole (Small).html,5302060
Tang Blue Hippo (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,12 Inches,29 Gallon,8-20 Years,No,Easy,2-3,"Bright blue body, black palette pattern, yellow tail",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Paracanthurus hepatus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Blue Hippo (Large).html,TA07
Tang Blue Hippo (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,12 Inches,29 Gallon,8-20 Years,No,Easy,2-3,"Bright blue body, black palette pattern, yellow tail",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Paracanthurus hepatus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Blue Hippo (Medium).html,TA06
Tang Blue Hippo (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,12 Inches,29 Gallon,8-20 Years,No,Easy,2-3,"Bright blue body, black palette pattern, yellow tail",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Paracanthurus hepatus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Blue Hippo (Small).html,TA05
Tang Chevron Juvenile (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,29 Gallon,10-20 Years,No,Moderate,2-3,"Orange body with blue chevron striping as juvenile, darkens with age",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii/Pacific,Ctenochaetus hawaiiensis (juvenile),https://bubba751.github.io/Saltwater-HTML-Files/Tang Chevron Juvenile (Large).html,TA08
Tang Chevron Juvenile (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,29 Gallon,10-20 Years,No,Moderate,2-3,"Orange body with blue chevron striping as juvenile, darkens with age",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii/Pacific,Ctenochaetus hawaiiensis (juvenile),https://bubba751.github.io/Saltwater-HTML-Files/Tang Chevron Juvenile (Medium).html,8735296
Tang Chevron Juvenile (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,29 Gallon,10-20 Years,No,Moderate,2-3,"Orange body with blue chevron striping as juvenile, darkens with age",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii/Pacific,Ctenochaetus hawaiiensis (juvenile),https://bubba751.github.io/Saltwater-HTML-Files/Tang Chevron Juvenile (Small).html,7151162
Tang Clown (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Moderate,2-3,Blue-black body with bold yellow and blue horizontal stripes,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Indo-Pacific,Acanthurus lineatus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Clown (Large).html,TA09
Tang Clown (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Moderate,2-3,Blue-black body with bold yellow and blue horizontal stripes,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Indo-Pacific,Acanthurus lineatus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Clown (Medium).html,180965L
